REG_ID_ENR,OTHER_INSTITUTION_AUTRE
489304,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
489304,BUREAU OF COMPETITION POLICY
489309,"BANK OF CANADA, PRIME MINISTER'S OFFICE"
489317,REGIONAL DEVELOPMENT AGENCIES
489359,SENATE
489361,SENATE
489375,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
489393,SENATE
489395,CDN SECURITY INTELLIGENCE SERV.
489395,CANADIAN SECURITY ESTABLISHMENT
489396,SENATE
489401,SENATE
489408,SENATE
489416,NATIONAL LIBRARIES AND NATIONAL ARCHIVES
489418,CANADA POST
489427,GOVERNMENT WIDE.
489461,EXPORT DEVELOPMENT CORPORATION (EDC)
510879,CANADA POST
510884,Office of the Superintendent of Financial Institutions
510885,CIHR
510886,Governor General
510888,Office of the Superintendent of Financial Institutions
510888,Financial Transactions & Reports Analysis Centre of Canada
510888,Canada Post
510888,House of Commons Standing Committee on Finance
510891,Canadian Institute of Health Research
510891,Public Health Agency
510892,Office of the Superintendent of Financial Institutions
510898,Senate (Senators)
510904,AGENCE DE DÉVELOPPEMENT ÉCONOMIQUE DU CANADA POUR LES RÉGIONS DU QUÉBEC (DEC)
510906,Federal/Provincial Relations
510917,Northern Ontario Development Program
510925,Canada Post
510926,Infrastructure
510927,Office of the Superintendent of Insurance
510928,Office of the Superintendent of Insurance
510930,Status of Women
510930,"Canadian Institutes for Health Research, CIHR"
510930,Public Health Agency
510930,Geological Survey of Canada
510938,Pest Management Registration Agency
510951,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
510953,LABOUR
510953,CROWN CORPORATIONS
510955,Investment Canada
510962,Infrastructure
510962,Sport
510964,Sport
510964,Infrastructure
510967,Privacy Commissioner
510975,Canada Heritage
510976,"Department of Finance, Tax Legislation Division"
510988,Canadian Intellectual Property Office
510992,Canadian Intellectual Property Office
510994,Canadian Intellectual Property Office
511007,Canada Mortgage & Housing
511007,Canada Post
511016,Business Development Bank
511017,Passport Canada
511019,Export Development Corporation
511036,Office of the Superintendent of Financial Institutions
511064,Canadian Border Services
511066,Technologies du Développement Durable Canada
511075,Canadian Institute for Health Information
511075,Intergovernmental Affairs
511075,Canada Health Infoway
511075,Canadian Health Council
511075,Canadian Patient Safety Institute
511084,OFFICE OF THE PRIME MINISTER
511084,HOUSE OF COMMONS CANADA
511096,Members of the Senate
511102,Fderal Office Regional Development Quebec
511111,CANADIAN INSTITUTE FOR HEALTH RESEARCH
511111,CANADA MILLENNIUM SCHOLARSHIP FOUNDATION
511115,Canadian Border Services Agency (CBSA)
511118,PSEPC
511125,Groupe de travail sur la gouvernance et le changement culturel à la G.R.C.
511143,CANADA TRANSPORTATION ACT REVIEW PANEL
511164,FedNor
511165,FedNor (Industry Canada)
511168,Prime minister' Office
511184,PMO
511206,OSFI
511217,Canada Border Servcies Agency
511217,Minister responsible for Vancouver/Whistler Olympics
511218,CABINET
511228,COMMISSION DU DROIT DU CANADA
