REG_ID_ENR,OTHER_INSTITUTION_AUTRE
540041,Senate
540062,Members of House of Commons and Senate and House and Senate Committees and their Staff
540062,Labour
540070,Federal Economic Development Initiative for Northern Ontario
540076,VETERINARY DRUGS DIRECTORATE
540078,FOOD DIRECTORATE
540078,NATURAL HEALTH PRODUCTS DIRECTORATE
540101,Canadian Border Services
540141,"Technology Partnerships Canada (TPC), administered by Industrial Technologies Office (ITO) of Industry Canada (IC)"
540189,Library & Archives Canada (LAC)
540242,CDIC
540242,Office of the Superintendent of Financial Institutions
540242,FINTRAC
540245,Leader of the Government in the Senate
540245,Members
540245,Leader of the Opposition
540245,International Trade
540288,Rural and Co-operatives Secretariat
540311,Office of the Superintendant of Financial Institutions
540401,Surintendant des institutions financières
540401,Postes Canada
540588,Public Health Agency
540588,Canadian Institute of Health Research
540604,CIHR
540605,Geological Survey of Canada
540723,DEPUTY MINISTER'S OFFICE
540963,Office of the Superintendant of Financial Institutions
540992,Secretary of State (Sport)
540992,Sport Canada
540994,Office of the Superintendent of Financial Institutions
541146,Développement Économique Canada
541150,PMO
541151,PHAC
541151,CBSA
541151,CFIA
541158,Forestry Innvoation Investment
541161,THE CANADIAN FOOD INSPECTION AGENCY
541161,OFFICE OF THE SUPERINTENDANT OF BANKRUPTCY
541161,RCMP
541306,GENOME CANADA
541306,CDN FOOD INSPECTION AGENCY
541306,CIHR
541321,Canadian Television Fund (CTF)
541481,Financial Transaction and Reports Analysis Centre
497923,CANADA FOOD INSPECTION AGENCY
497924, PRIME MINISTER`S OFFICE
497930,SENATE
497947,RETAIL DEBT INDUSTRY
497947,OSFI
497948, CONSULTAT GENERALE DU CANADA A NEW YORK
497948, CONSULTAT GENERAL DU CANADA A BUFFALO
497948, CONSULTAT GENERAL DU CANADA A LOS ANGELES
497948, AMBASSADE DU CANADA A LONDRES
497948, MINISTERE DES AFFAIRES EXTERIEURES
497948, AMBASSADE DU CANADA  EN CHINE
497948, AMBASSADE DU CANADA EN RUSSIE
497948, EMBASSADE DU CANADA A PARIS
497948, AMBASSADE DU CANADA EN UKRAINE
497961,MILLENNIUM TASK FORCE
497968,MIN. OF INFRASTRUCTURE
497974, PATENTED MEDICINE PRICING REVIEW BOARD
497974, NATIONAL ASSOCIATION OF PHARMACY REGULATORY AUTHORITIES
497974, HEALTH PROTECTION BRANCH
497979,OFFICE OF SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
497982,LE SENAT DU CANADA
498002, INFORMATION COMMISSIONER OF CANADA
498002, SENATE
498012,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
498016,COMMIS. NATION. LIBERATIONS COND
498020,PEST MANAGEMENT REGULATORY AGENC
498020,FARM CREDIT CORPORATION
498025,INVESTMENT CANADA
498033, LABOUR CANADA
498037,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498037,SENATE
498037,FARM CREDIT CORPORATION
498039,INVESTMENT CANADA
498044, NAT'L ASS'N OF PHARMACY REGULATORY AUTHORITIES
498044, HEALTH PROTECTION BRANCH
498047,TASK FORCE ON THE FUTURE OF THE CANADIAN FINANCIAL SERVICES SECTOR
498049,COMMIS. NATION. LIBERATIONS COND
498052, CABINET
498057,DEPARTMENT OF INTERNATIONAL TRAD
498058,SENATE
498058,MEDICAL RESEARCH COUNCIL OF CAN.
498060, FINANCE COMMITTEE
498060, HERITAGE COMMITTEE
498060, CANADA COUNCIL
498067,MEASUREMENT CANADA
498070,EXPORT DEVELOPMENT CORPORATION (EDC)
498070,COMMUNICATIONS SECURITY ESTABLISHMENT
498070, MEDICAL RESEARCH COUNCIL OF CANADA
498077,LABOUR CANADA
498079,HAZARDOUS MATERIALS INFORMATION COMMISSION
498079,FEDERAL ENVIRONMENT ASSESSMENT REVIEW OFFICE
498080,STANDING COMMITTEES
498080,"MEMBERS OF PARLIAMENT, BOTH OPPOSITION AND GOVERNMENT"
498087,ST. LAWRENCE SEAWAY AUTHORITY
498087,CANADIAN ICE SERVICE
498087,CANADA PORTS CORPORATION
498087,CANADIAN GENERAL STANDARDS BOARD
498087,CANADIAN HYDROGRAPHIC SERVICE
498090,CANADIAN WILDLIFE SERVICE
498091,CANADIAN INSTITUTIONS FOR HEALTH RESEARCH
498091,MEDICAL RESEARCH COUNCIL OF CANADA
498091,MINISTER'S OFFICE
498091,SENATE
498100,PMO
498108,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
498108,CANADIAN DEPOSIT INSURANCE CORPORATION (CDIC)
498115,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498125,MIN. OF INFRASTRUCTURE
498130,CUSTOMS (REVENUE CANADA)
498130,CANADA POST
498135,SEC OF STATE (LATIN AMERICA AND
498135,SEC. STATE (STATUS OF WOMEN)
498139,PRIME MINISTER'S OFFICER
498150, BUREAU OF COMPETITION POLICY
498150, OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498157,CANADA ECONOMIC DEVELOPMENT FOR QUEBEC
498157,EXPORT DEVELOPMENT CORPORATION
498158,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498158,OFFICE OF THE SUPERINTENDENT OF BANKRUPTCY
498158, OFFICE OF THE AUDITOR GENERAL
498158,NATIONAL ROUNDTABLE ON THE ENVIRONMENT AND THE ECONOMY
498161,CANADA CUSTOMS AND REVENUE AGENCY
498168,CANADIAN INSTITUTIONS FOR HEALTH RESEARCH
498168,LABORATORY CENTRE FOR DISEASE CONTROL
498168,MEDICAL RESEARCH COUNCIL
498168,HOUSE OF COMMONS; SENATE
498168,PRIME MINISTER OFFICE
498168,CANADIAN INSTITUTE OF HEALTH RESEARCH
498170,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498178,CLIMATE CHANGE SECRETARIAT
498179,CDN. HUMAN RIGHTS COMMISION
498185, CANADA POST
498194,BUREAU OF COMPETITION
498194,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
508820,Canadian Institutes for Health Research
508846,Public Safety and Emergency Preparedness
508854,Agence de développement économique du Canada
508858,ministere du travail
508861,CFIA
508861,CBSA
508865,CMHC
508866,Cape Breton Growth Fund
508873,Common Drug Review and the Patented Medicines Prices Review Board
508881,Labour Canada
508887,Office of the Auditor General
508894,Office of the Commissioner of the Northern Pipeline Agency
508894,Northern Gas Project Secretariat
508896,Office of the Minister of Foreign Affairs
508896,Office of the Minister of Public Works
508896,Canadian Border Services Agency
508896,Office of the President of the Canadian Border Services Agency
508896,Office of the Minister of the Treasury Board
508896,Office of the Minister of Industry
508896,Office of the Minister of International Trade
508896,Office of the Minister of Finance
508896,Office of the Minister of Transport
508896,Office of the Minister of Environment
508896,Office of the Minister of Public Safety
508940,Canadian Foundation for Innovation
508944,Federal Agency for Housing for Housing Co-operatives
508944,Canada Mortgage and Housing Agency
508945,Office of the Auditor General
508951,PUBLIC SAFETY & EMERCENCY PREPAREDNESS CANADA
508952,PUBLIC SAFETY & EMERCENCY PREPAREDNESS CANADA
508958,Minister responsible for Vancouver/Whistler Olympics
508958,Canada Border Servcies Agency
508990,Sénat
508990,Bureau du premier ministre
508990,Développement social
508991,CLIMATE CHANGE SECRETARIAT
509006,HOUSE OF COMMONS CANADA
509006,OFFICE OF THE PRIME MINISTER
509042,Canada Post
509043,Sustainable Development Technology Canada
509044,Canadian Foundation for Innovation (CFI)
509044,FedNor
509045,CANADA CUSTOMS AND REVENUE AGENCY
509050,Sustainable Development Technology Canada (SDTC)
509066,C.I.H.R
509067,Leader of the Opposition
509067,Leader of the Government in the Senate
509067,International Trade
509068,C.I.H.R
509069,Leader of the Government in the Senate
509069,Members
509069,Leader of the Opposition
509069,International Trade
509070,Patented Medications Price Review Board
509084,PUBLIC SAFETY & EMERCENCY PREPAREDNESS CANADA
509096,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
509100,Meteorological Services of Canada
509100,Office of the Superintendent of Financial Institutions
509116,CANADA ECONOMIC DEVELOPMENT FOR THE QUEBEC REGIONS
509129,Senate
509130,Senate
509131,Senate
509161,Members of Parliament
509162,Members of Parliament
509171,Investment Review Division of Industry Canada
509172,THE CANADIAN FOOD INSPECTION AGENCY
509172,OFFICE OF THE SUPERINTENDANT OF BANKRUPTCY
509172,RCMP
509185,Members of the Senate
509187,Members of Parliament
509188,Standing Committees (Ag & Transport)
509188,Treasury Board/Canadian Wheat Board
509194,Pilotage Authorities
509196,pilotage authorities
509199,pilotage authorities
509210,Pest Management Center
509216,Members of Parliament
509231,Canadian Mortgage and Housing Corporation
509231,Status of Women
509239,Human Resources and Social Development Canada
509259,Canada Food Inspection Agency
509262,Canada Food Inspection Agency
509277,Canada Border Security Agency
509283,Canada Economic Development
509298,Public Health Agency
509298,Canadian Institutes for Health Research
509302,Technology Partnerships Canada Program
509306,Canadian Air Transport Secuity Authority
509306,Canadian Security Intelligence Services
509306,Standing Committee on Transportation
509308,CANADA LANDS COMPANY LIMITED
509309,Standing Committee On Transportation
509309,Canadian Security Intelligence Services
488107,MEMBERS OF PARLIAMENT
488122,CANADIAN SECURITY INTELLIGENCE SERVICE; COMMUNICATIONS SECURITY ESTABLISHMENT; NATIONAL ARCHIVES
488124,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488127,AFFAIRES INTERGOUVERNEMENTALES
488127,BUREAU DU PREMIER MINISTRE
488149,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488151,PMO
488178,IDRC : INTERNATIONAL DEVELOPMENT RESEARCH CENTRE
488182,"SECRÉTAIRE D'ÉTAT (SCIENCE, R&D)"
488183,"MEMBERS OF PARLIAMENT IN CHARGE OF FOREIGN AFFAIRS, TRADE, AGRICULTURE, ENVIRONMENT"
488206,HOUSE OF COMMONS AND SENATE
488210,FOND DU PATRIMOINE DU NORD DE L'ONTARIO
488210,OCAF
488210,MFCU
488210,FONDATION TRILLIUM DE L'ONTARIO
488210,FEDNOR INDUSTRIE CANADA
488210,SECRETATIAT DES AFFAIRES INTERGOUVERNEMENTALES CANADIENNE SAIC
488210,OTMP
488210,FONDATION FRANCO-ONTARIENNE
488210,CONSEIL DES ARTS DE L'ONTARIO
488214,CANADIAN CENTRE FOR MANAGEMENT DEVELOPMENT (CCMD)
488231,CANADA PENSION PLAN SECRETARIAT
488237,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488237,BUREAU OF COMPETITION POLICY
488247,A.E.C.L. [ ATOMIC ENERGY ]
488254,MILLENIUM PROJECT OFFICE
488261,"CANADA POST CORP., ROYAL CANADIAN MINT"
488262,PRIME MINISTERS OFFICE
488271,ATOMIC ENERGY OF CANADA LTD.
488276,TREASURY BOARD
488276,MUSEUM OF CIVILIZATION
488296,CABINET
488308,SENATE
488308,BUREAU OF COMPETITION POLICY
488316,MP'S
488328,OFFICE OF THE SUPERTINTENDENT OF FINANCIAL INSTITUTIONS
488333,MEMBERS OF PARLIAMENT
488356,SENATORS
488356,MEMBERS OF PARLIAMENT
488360,FEDERAL ECONOMIC DEVELOPMENT INITIATIVE FOR NORTHERN ONTARIO
488366,MEMBERS OF THE GOVERNOR IN COUNCIL
488366,INVESTMENT CANADA
488389,HOUSE OF COMMONS AND SENATE
488418,BUREAU OF COMPETITION POLICY
488418,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488421,OFFICE OF SUPERINTENDENT OF FI
488429,OFFICE OF SUPERINTENDENT OF FI
488431,OFFICE OF SUPERINTENDENT OF FI
488437,BUREAU OF COMPETITION POLICY
488437,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488456,OFFICE OF SUPERINTENDENT OF FI
488459,PARLIAMENT
488466,RCMP
488477,SENATE
488498,CANADIAN WAR MUSEUM
488498,MUSEUM OF CIVILIZATION
488499,CANADA PORTS CORPORATION
488499,EXPORT DEVELOPMENT CORPORATION
488501,CANADA PORTS CORPORATION
488501,EXPORT DEVELOPMENT CORPORATION
488507,SENATE
488509,PROVINCIAL GOVERNMENTS
488518,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488519,LITERACY SECRETARIAT
488520,SENATE
488545,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488550,DEPUTY PRIME MINISTER'S OFFICE
488554,OFFICE OF THE PRIME MINISTER
488555,MEDICAL RESEARCH COUNCIL/CANADIAN INSTITUTE OF HEALTH RESEARCH
488556,OFFICE OF THE COMMISSIONER FOR AQUACULTURE DEVELOPMENT
488570,SAIC
589217,Defence Reseach and Development Canada (DRDC)
589257,"Members of Committee of Industry, Science and Technology"
589257,Standing Committee on Finance (FINA)
589318,Interim Commissioner of Competition
589437,CPC Strategic Review Secretariat
589701,Canada Newfoundland and Labrador Offshore Petroleum Board
589701,Canada Nova Scotia Offshore Petroleum Board
589738,Canadian Radio-Television and Telecommunication Agency
589738,Parliament of Canada
589738,Technology Partnership Canada (TPC)
589738,Canadian Forces (CF)
589860,Affaires intergouvernementales
589937,National Revenue
589937,Federal Economic Development Initiative
589937,Parliament of Canada
590097,Canadian Security Intelligence Services
590139,Sénat
590139,Bureau du premier ministre
590139,Agence de la fonction publique
590141,Office of the Leader of the Government in the House of Commons
541481,Office of the Superintendent of Financial Institutions
541602,OSFI
541804,FINTRAC
541942,Public Safety and Emergency Preparedness
542141,Office of the Superintendent of Financial Institutions
542143,Competition Policy Review Panel Secretariat
542281,Canada's Ambassador to Guatemala
542284,Office of the Superintendant of Financial Institutions
542297,Canada Border Security Agency
542332,Canada Newfoundland and Labrador Offshore Petroleum Board
542332,Canada Nova Scotia Offshore Petroleum Board
542346,Canada Customs and Revenue Agency
542346,Canadian Border Services Agency
542346,NSERC
542389,Status of Women
542406,Public Safety & Emergency Preparedness Canada
542406,Auditor Generals Office
542406,Canada Science and Technology Museum Corporation
542409,Office of the Superintendent of Financial Institutions
542409,Ombudsman for Banking Services & Investments (OBSI)
542409,Office of the Privacy Commissioner (OPCC)
542410,"Canadian Embassy Washington, DC"
542410,Human Resources and Skills Development
542410,Canadian Forest Services
542443,Canadian Centre on Substance Abuse (CCSA)
542468,Members of both Houses of Parliament and staff
542468,Office of the Superintendent of Financial Institutions
542485,Canadian Health Council
542485,Canadian Patient Safety Institute
542485,Canada Health Infoway
542485,Canadian Institutes for Health Information
542485,Intergovernmental Affairs
542492,"Office of the Honourable Greg Thompson, P.C., M.P."
542497,Canadian Patient Safety Institute
542497,Canada Health Infoway
542497,Intergovernmental Affairs
542497,Canadian Health Council
542497,Canadian Institute for Health Information
542498,Canada Health Infoway
542498,Canadian Health Council
542498,Canadian Institute for Health Information
542498,Intergovernmental Affairs
542498,Canadian Patient Safety Institute
542499,Canadian Institute for Health Information
542499,Intergovernmental Affairs
542499,Canada Health Infoway
542499,Canadian Institutes for Health Research
542499,Canadian Health Council
542499,Canadian Patient Safety Institute
542500,Canadian Health Council
542500,Canada Health Infoway
542501,Canadian Institutes for Health Information
542501,Canada Health Infoway
542501,Intergovernmental Affairs
542501,Canadian Patient Safety Institute
542501,Canadian Health Council
542502,Canada Health Infoway
542502,Canadian Patient Safety Institute
542502,Canadian Health Council
542502,Intergovernmental Affairs
542502,Canadian Institutes for Health Information
542503,Canada Health Infoway
542503,Intergovernmental Affairs
542503,Canadian Institute for Health Information
542503,Canadian Health Council
542503,Canadian Patient Safety Institute
542504,Intergovernmental Affairs
542504,Canadian Institute for Health Information
542504,Canada Health Infoway
542504,Canadian Health Council
542504,Canadian Patient Safety Institute
542505,Intergovernmental Affairs
542505,Canada Health Infoway
542505,Canadian Health Council
542505,Canadian Institutes for Health Information
542505,Canadian Patient Safety Institute
542506,Canada Health Infoway
542506,Intergovernmental Affairs
542506,Canadian Health Council
542506,Canadian Institute for Health Information
542506,Canadian Patient Safety Institute
542507,Canada Health Infoway
542507,Intergovernmental Affairs
542507,Canadian Health Council
542507,Canadian Institute for Health Information
542507,Canadian Patient Safety Institute
542508,Canadian Patient Safety Institute
542508,Canada Health Infoway
542508,Intergovernmental Affairs
542508,Canadian Health Council
542508,Canadian Institute for Health Information
542509,Intergovernmental Affairs
542509,Canadian Institute for Health Information
542509,Canada Health Infoway
542509,Canadian Health Council
542509,Canadian Patient Safety Institute
542510,Canadian Institute for Health Information
542510,Canadian Patient Safety Institute
542510,Canada Health Infoway
542510,Intergovernmental Affairs
542510,Canadian Health Council
542511,Canadian Health Council
542511,Canadian Patient Safety Institute
542511,Canadian Institute for Health Information
542511,Intergovernmental Affairs
542511,Canada Health Infoway
542512,Canadian Institute for Health Information
542512,Canadian Patient Safety Institute
542512,Intergovernmental Affairs
542512,Canada Health Infoway
542512,Canadian Health Council
542513,Canadian Institute for Health Information
542513,Intergovernmental Affairs
542513,Canada Health Infoway
542513,Canadian Health Council
542513,Canadian Patient Safety Institute
542514,Intergovernmental Affairs
542514,Canadian Institute for Health Information
542514,Canada Health Infoway
542514,Canadian Health Council
542514,Canadian Patient Safety Institute
542515,Canadian Health Council
542515,Canadian Patient Safety Institute
542515,Intergovernmental Affairs
542515,Canada Health Infoway
542516,Canadian Institute for Health Information
542516,Intergovernmental Affairs
542516,Canada Health Infoway
542516,Canadian Health Council
542516,Canadian Patient Safety Institute
542517,Intergovernmental Affairs
542517,Canadian Institute for Health Information
542517,Canada Health Infoway
542517,Canadian Health Council
542517,Canadian Patient Safety Institute
542518,Canadian Institute for Health Information
542518,Intergovernmental Affairs
542518,Canada Health Infoway
542518,Canadian Health Council
542518,Canadian Patient Safety Institute
542519,Intergovernmental Affairs
542519,Canadian Institute for Health Information
542519,Canada Health Infoway
542519,Canadian Health Council
542519,Canadian Patient Safety Institute
542520,Canadian Health Council
542520,Canadian Patient Safety Institute
542520,Intergovernmental Affairs
542520,Canada Health Infoway
542520,Canadian Institutes for Health Information
542521,Canadian Health Council
542521,Canadian Patient Safety Institute
542521,Canadian Institute for Health Information
542521,Intergovernmental Affairs
542521,Canada Health Infoway
542522,Intergovernmental Affairs
542522,Canadian Health Council
542522,Canadian Institute for Health Information
542522,Canadian Patient Safety Institute
542522,Canada Health Infoway
542523,Canadian Health Infoway
542523,Intergovernmental Affairs
542523,Canadian Health Council
542523,Canadian Institute for Health Information
542523,Canadian Patient Safety Institute
542524,Canada Health Infoway
542524,Canadian Health Council
542524,Canadian Institutes for Health Information
542524,Intergovernmental Affairs
542524,Canadian Patient Safety Institute
542525,Canadian Health Council
542525,Canadian Patient Safety Institute
542525,Canadian Institute for Health Information
542525,Intergovernmental Affairs
542525,Canada Health Infoway
542526,Canadian Patient Safety Institute
542526,Intergovernmental Affairs
542526,Canada Health Infoway
542526,Canadian Health Council
542526,Canadian Institute for Health Information
542527,Intergovernmental Affairs
542527,Canadian Institute for Health Information
542527,Canada Health Infoway
542527,Canadian Health Council
542527,Canadian Patient Safety Institute
542528,Canadian Institute for Health Information
542528,Canadian Patient Safety Institute
542528,Intergovernmental Affairs
542528,Canada Health Infoway
542528,Canadian Health Council
498195,BUREAU OF COMPETITION
498195,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498198,PRIME MINISTER'S OFFICER
498203,"DÉVELOPPEMENT ÉCONOMIQUE CANADA, RÉSEAU CANADIEN DE TECHNOLOGIE"
498211,SEC. STATE (STATUS OF WOMEN)
498211,SEC OF STATE (LATIN AMERICA AND
498212,CANADIAN HYDROGRAPHIC SERVICE
498212,CANADIAN GENERAL STANDARDS BOARD
498212,ST. LAWRENCE SEAWAY AUTHORITY
498212,CANADA PORTS CORPORATION
498212,CANADIAN ICE SERVICE
498213,SENATE
498216,SENATE
498225,MILLENNIUM BUREAU OF CANADA
498229,RETAIL DEBT INDUSTRY
498229,OFFICE OF THE SUPERINTENDANT OF FINANCIAL INSTITUTIONS
498265,EXPORT DEVELOPMENT CORPORATION
498268,EXPORT DEVELOPMENT CORPORATION
498271,MEDICAL RESEARCH COUNCIL OF CANADA
498276, CANADIAN RETAIL DEBT AGENCY
498276, OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498277,CANADIAN BROADCASTING CORPORATION / SOCIETE RADIO CANADA
498277,NATIONAL ARTS CENTRE / CENTRE NATIONAL DES ARTS
498296,STATUS OF WOMEN SECRETARIAT
498296,MEDICAL RESEARCH COUNCIL
498296,NATIONAL FORUM ON HEALTH CARE
498305,EXPORT DEVELOPMENT CORPORATION
498308,"BANK OF CANADA,"
498308,OFFICE OF SUPERINTENDANT OF FINANCIAL INSTITUTIONS (OSFI)
498321,EXPORT DEVELOPMENT CORPORATION (EDC)
498327,OFFICE OF THE CHIEF INFORMATION OFFICER
498327,COPYRIGHT BOARD
498331,SENATE
498331,FOREST SECTOR ADVISORY COUNCIL
498335,MEDICAL RESEARCH COUNCIL
498340,COPYRIGHT BOARD
498340,OFFICE OF THE CHIEF INFORMATION OFFICER
498343,SENATE
498343,PRIME MINISTERS OFFICE
498343,MEMBERS OF FEDERAL CABINET
498345,CCRA
498350,SENATE
498351,SENATE
498376,CONSULAT GENERAL DU CANADA A AMSTERDAM
498376,AMBASSADE DU CANADA EN UKRAINE
498376,AMBASSADE DU CANADA EN RUSSIE
498376,AMBASSADE DU CANADA EN AFRIQUE
498376,CONSULAT GENERAL DU CANADA A NEW YORK
498376,AMBASSADE DU CANADA A PARIS
498376,AMBASSADE DU CANADA A LONDRES
498376,CONSULAT GENERAL DU CANADA A LOS ANGELES
498376,CONSULAT GENERAL DU CANADA A BUFFALO
498376,AMBASSADE DU CANADA EN CHINE
498379,INVESTMENT CANADA
498390,ALL DEPARTMENTS OPERATING FLEETS
498401,MEDICAL RESEARCH COUNCIL
498401,CDN. FOOD INSPECTION AGENCY
498401,CDN INTELLECTUAL PROPERTY OFFICE
498404,"OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS, PRIME MINISTER'S OFFICE, COMPETITION BUREAU"
498407,OFFICE OF THE AUDITOR GENERAL
498412,"OFFICE OF THE SUPERINTENDANT OF FINANCIAL INSTITUTTIONS, PRIME MINISTER'S OFFICE, COMPETITION BUREAU"
498416,CANADA FOOD INSPECTION AGENCY
498423, SENATE
498423, INFORMATION COMMISSIONER OF CANADA
498424, SENATE
498424, INFORMATION COMMISSIONER OF CANADA
498426,CUSTOMS (CCRA)
498428,GENOME CANADA
498432,BUREAU OF COMPETITION
498432,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498445, TRIBUNAL DU DROIT D'AUTEUR
498449,CONFERENCE BOARD OF CANADA
498453,WOMEN'S PROGRAM
498465,FARM CREDIT CORPORATION
498465,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498465,SENATE
498467, PRIME MINISTER`S OFFICE
498468,BUREAU OF COMPETITION
498468,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498470,EXPORT DEVELOPMENT CORPORATION
498471,FEDERAL TREATY NEGOTIATION OFFICE
498473,CANADA POST
498480," POLICY AND LAW ENFORCEMENT DIRECTORATE, SOLICITOR GENERAL CANADA"
498480," ABORIGINAL POLICY UNIT, SOLICITOR GENERAL CANADA"
498483,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498484,EXPORT DEVELOPMENT CORPORATION (EDC)
498489,FINANCE MINISTER'S OFFICE
498491, OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
498491, INTERPROVINCIAL TRADE COMMITTEE
498492,PEST MANAGEMENT REGULATORY AGENC
498492,FARM CREDIT CORPORATION
498493,PEST MANAGEMENT REGULATORY AGENC
509325,FEDNOR
509337,Transportation & Infrastructure Canada
509351,Public Service Human Resources Management Agency of Canada
509355,PHAC
509355,CBSA
509355,CFIA
509361,Canadian Institute for Health Information
509361,The Senate of Canada
509361,Intergovernmental Affairs
509361,Canada Health Infoway
509361,Canadian Health Council
509361,Canadian Patient Safety Institute
509362,Status of Women
509362,Canadian Institutes for Health Research (CIHR)
509362,Public Health Agency
509362,Geological Survey of Canada
509373,Members of the Senate
509374,Ministerial Staff
509374,Ministers
509374,Committee Staff
509379,Leader of the Government in the Senate
509379,Members
509379,Leader of the Opposition
509379,International Trade
509392,FINANCE COMMITTEE OF HOUSE OF COMMONS
509396,Sustainable Development Technology Canada
509397,Parliament
509401,Cape Breton Growth Fund
509402,Ministers of National Revenue
509402,Human Resources and Social Development
509402,National Revenue
509402,Canadian Mortgage and Housing Corporation (CMHC)
509403,Institute of Health Services and Policy Research (IHSPR)
509406,Office of the Superintendent of Financial Institutions
509412,Sustainability Development Technology
509412,Office of the Superintendent of Financial Institutions
509412,Canada Mortgage Housing Corporation
509412,Export Development Corporation
509418,Office of the Superintendent of Financial Institutions
509421,Canada Mortgage Housing Corporation
509421,Competition Policy Review Panel and Secretariat
509486,Canadian Institute for Health Information
509486,Intergovernmental Affairs
509486,Canada Health Infoway
509486,Canadian Health Council
509486,Canadian Patient Safety Institute
509491,CIHR
509495,Members of Parliament
509497,International Security Branch
509516,CANADIAN FOOD INPECTION AGENCY
509527,Canada-Newfoundland Labrador Offshore Petroleum Board
509527,Immigration Canada
509527,Canada-Nova Scotia Offshore Petroleum Board
509545,Infrastructure
509545,Parks
509548,Labour Canada
509564,"HEALTH, FINANCE, INDUSTRY"
509564,GENOME CANADA
509564,MINISTER'S OFFICE
509564,SENATE
509564,CANADIAN INSTITUTIONS FOR HEALTH RESEARCH
509564,CANADIAN FOUNDATION FOR INNOVATION
509565,CFIA - Canadian Food Inspection Agency
509582,Pilotage Authorities
509588,Coast Guard
509588,Canadian Air Traffic Safety Association
509591,C.I.H.R
509594,Canadian Forces
509603,"CANADIAN DAIRY COMMISSION, CANADIAN WHEAT BOARD"
509605,"Senate, Labratory Centre for Disease Control"
509606,CANADIAN INSTITUTION OF HEALTH RESEARCH
509606,ANY AGENCY THAT DEALS WITH TOBACCO ISSUES
509606,"HOUSE OF COMMONS, SENATE"
509619,Labour Canada
509620,Intergovernmental Affairs
509620,Canada Health Infoway
509620,Canadian Health Council
509620,Canadian Institute for Health Information
509620,Canadian Patient Safety Institute
509621,Canada Border Protection Agency (CBPA)
509623,LABOUR
509625,Canadian Council on Learning
509631,Labour Canada
509633,Federal Provincial Territorial Radiation Protection Committee
509642,The Canadian Coast Guard
509642,The Department of National Defence Joint Task Force
509647,Canadian Embassy - South Korea
509658,Coast Guard
509658,Labour Canada
509658,Public Safety & Emergency Preparedness
509676,Intergovernmental Affairs
509676,Canadian Institute for Health Information
509676,Canada Health Infoway
509676,Canadian Health Council
509676,Canadian Patient Safety Institute
509678,Exportation and Development Canada
509678,Canadian Air Force
509678,Canadian Radio-Television and Telecommunication Agency
509684,FedNor
509684,Aboriginal Business Canada
542529,Canadian Institute for Health Information
542529,The Senate of Canada
542529,Intergovernmental Affairs
542529,Canada Health Infoway
542529,Canadian Health Council
542529,Canadian Patient Safety Institute
542530,Canadian Institute for Health Information
542530,Canadian Patient Safety Institute
542530,Intergovernmental Affairs
542530,Canadian Health Council
542530,Canada Health Infoway
542531,Canada Health Infoway
542531,Canadian Health Council
542531,Intergovernmental Afffairs
542531,Canadian Institute for Health Information
542531,Canadian Patient Safety Institute
542578,Canadian Health Council
542578,Canadian Patient Safety Institute
542578,Canada Health Infoway
542578,Intergovernmental Affairs
542584,Canadian Patient Safety Institute
542584,Canada Health Infoway
542584,Intergovernmental Affairs
542584,Canadian Health Council
542584,Canadian Institute for Health Information
542600,Canadian Patient Safety Institute
542600,Canada Health Infoway
542600,Intergovernmental Affairs
542600,Canadian Health Council
542600,Canadian Institute for Health Information
542603,Intergovernmental Affairs
