Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-05-24,-,Canadian Live Music Association,-,Erin Benjamin,Alberta Culture and Status of Women,-,Arts and Culture,OL-10712-10,Organization Lobbyist,Erin Benjamin,Semi-Annual Renewal,Archived,View 
2022-05-20,-,AltaGas Ltd.,-,Randall Crawford,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations",Alberta Energy Regulator,"Climate, Energy, Indigenous Relations",OL-10508-13,Organization Lobbyist,"Ryan Hassen, Travis McKellar, Alex Gorodetsky, Noel Robitaille, Dan Woznow, Katrisha Gibson, Bruce Leonard, Kelsey Swanson, David Markham, Jennifer Osmar, Randall Crawford, Shaheen Amirali",Semi-Annual Renewal,Archived,View 
2022-05-20,-,De Paoli & Associates Inc.,Big Marble Farms Inc.,Anna De Paoli,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development",-,"Energy, Environment, Municipal Affairs",CL-11087-10,Consultant Lobbyist,Anna De Paoli,Notice of Change,Archived,View 
2022-05-19,-,ARC Resources Ltd.,-,Terry Anderson,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Energy Regulator, Alberta Electric System Operator","Energy, Environment, Municipal Affairs",OL-10631-15,Organization Lobbyist,"Brendan Galloway, Kristin Cerny, Kevin Kempthorne, Lara Conrad, Sean Calder, Armin Jahangiri, Ryan Berrett, Kris Bibby, Lisa Olsen, Rob Newberry, Blake Johnson, Chris Arndt, Darren Drake, Katherine Gomes, Terry Anderson, Andrea Fiedler, Brian Groundwater, Tejay Haugen, Jody Wilson, Darren Munn, Justin Stoppler, Cory Beliveau, Rick Nakamoto, Estelle Ducatel, David Sorkilmo, Rob Zinselmeyer, Kudjo Fiakpui, Edward Hucman, Brent Miller, Stephanie Neilson",Semi-Annual Renewal,Archived,View 
2022-05-19,-,Renewable Energy Systems Canada Inc.,-,Peter Clibbon,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Premier's Office","Alberta Utilities Commission, Alberta Electric System Operator",Energy,OL-12334-03,Organization Lobbyist,"Peter Clibbon, Patrick Henn, Andrea Cosman, Marika Gibson",Semi-Annual Renewal,Archived,View 
2022-05-19,2022-11-22,Global Public Affairs,Alberta Association of Naturopathic Doctors,Randy Pettipas,"Executive Council, Alberta Health, Alberta Legislative Assembly",-,Health,CL-12754-01,Consultant Lobbyist,"Candice Laws, Farid Foroud, Melissa Carvalho, Glenn Monteith",Initial Return,Terminated,View 
2022-05-19,-,Canadian Off-Highway Vehicle Distributors Council,-,Bianca Kennedy,"Alberta Environment and Parks, Executive Council, Premier's Office",-,Environment,OL-10562-14,Organization Lobbyist,"Michelle O'Hara, Paul J Demers, Oksana Buhel",Semi-Annual Renewal,Archived,View 
2022-05-19,-,Counsel Public Affairs Inc.,Merit Contractors Association,Philip Dewan,"Alberta Labour and Immigration, Alberta Infrastructure, Executive Council, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Education, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,"Employment and Training, Budget, Health, Trades and Occupations",CL-11340-17,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-05-19,-,Alberta Counsel,Edmonton Minor Soccer Association,Jonathon Wescott,"Alberta Infrastructure, Alberta Community and Social Services, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",-,Recreation,CL-11205-05,Consultant Lobbyist,"James Johnson, Aileen Burke, Justin Gotfried, Sydney McHale, Allyssa Rygersberg, Alexandra Carlile, Aaron Singleton, Jonathon Wescott, Pascal Ryffel, Shayne Saskiw, Zack Ziolkowski, Votham Anastasiadis",Notice of Change,Archived,View 
2022-05-19,-,Motorcycle & Moped Industry Council,-,Bianca Kennedy,"Alberta Infrastructure, Alberta Transportation",Alberta Insurance Council,Transportation,OL-10694-11,Organization Lobbyist,"Paul Demers, Michelle O'Hara, Oksana Buhel",Semi-Annual Renewal,Archived,View 
2022-05-19,-,Merit Contractors Association,-,Malcolm D. Kirkland,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Municipal Affairs, Alberta Education, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office","Alberta Apprenticeship and Industry Training Board, Workers’ Compensation Board","Budget, Employment and Training, Health, Post-secondary Education, Trade, K-12 Education, Trades and Occupations, Labour Relations",OL-10409-25,Organization Lobbyist,"Glenna Laing, Malcolm D. Kirkland, Brian Lacey, Alan Kuysters, Line Porfon, Elizabeth Hammell",Notice of Change,Archived,View 
2022-05-19,-,Global Public Affairs,Entos Pharmaceuticals,Randy Pettipas,"Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Premier's Office",-,"Health, Economic Development",CL-11861-13,Consultant Lobbyist,"Yonathan Sumamo, Danielle Cruz, Farid Foroud, Paul Whittaker, Thanh Ngo",Notice of Change,Archived,View 
2022-05-18,-,Calgary Convention Centre Authority,-,Kurby Court,Alberta Labour and Immigration,Travel Alberta,"Employment and Training, Tourism",OL-12269-03,Organization Lobbyist,"Kurby Court, Alyson Robb",Semi-Annual Renewal,Archived,View 
2022-05-18,-,Abbott Laboratories Co.,-,Matthew Harris,"Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",Alberta Health Services,Health,OL-12740-01,Organization Lobbyist,"Yeesha Poon, Denis Lapierre, Patricia Jill Kravinchuk",Initial Return,Archived,View 
2022-05-18,-,Alberta Counsel,Municipal District of Opportunity,Jonathon Wescott,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Health, Alberta Culture and Status of Women, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office",-,"Health, Taxes and Finance, Municipal Affairs, Economic Development, Transportation",CL-11066-14,Consultant Lobbyist,"Aaron Singleton, Allyssa Rygersberg, Alexandra Carlile, Justin Gotfried, Shayne Saskiw, Pascal Ryffel, Zack Ziolkowski, Jon Wescott, Leo Piquette, Votham Anastasiadis, James Johnson, Aileen Burke, Sydney McHale",Notice of Change,Archived,View 
2022-05-18,-,Alberta Pulse Growers Commission,-,Leanne Fischbuch,"Alberta Environment and Parks, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Education, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Agriculture Financial Services Corporation, Alberta Innovates","Climate, Agriculture, Trade, Environment, Transportation, K-12 Education, Economic Development",OL-10816-09,Organization Lobbyist,"Jenn Walker, Robert Semeniuk, Shane Strydhorst, Don Shepert, Nevin Rosaasen, Leanne Fischbuch, Rachel Peterson, Debra McLennan, Reg Warkentin",Semi-Annual Renewal,Archived,View 
2022-05-18,-,Crestview Strategy,Songbird Life Science,Chad Rogers,"Alberta Children’s Services, Alberta Energy, Alberta Community and Social Services, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Executive Council, Alberta Health, Alberta Education, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office","Alberta Health Services, Alberta Innovates, Invest Alberta Corporation",Health,CL-12746-01,Consultant Lobbyist,Taleesha Thorogood,Initial Return,Archived,View 
2022-05-17,-,Alberta Counsel,Nurse Practitioner Association of Alberta (NPAA),Jonathon Wescott,"Alberta Labour and Immigration, Alberta Health, Premier's Office, Alberta Advanced Education","Labour Relations Board, Alberta Health Services","Health, Post-secondary Education, Labour Relations",CL-11312-08,Consultant Lobbyist,"Justin Gotfried, Zack Ziolowski, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Aaron Singleton, Allyssa Rygersberg, Votham Anastasiadis, Alexandra Carlile, Aileen Burke, Sydney McHale",Notice of Change,Archived,View 
2022-05-17,-,1689986 ALBERTA LIMITED carrying on business as Navigator,Clorox (GLAD) Company of Canada Ltd,Jason Hatcher,Alberta Environment and Parks,-,Environment,CL-12346-04,Consultant Lobbyist,"Zoe Keirstead, Braydon Akers, Danielle Parr, Rosa Ellithorpe",Notice of Change,Archived,View 
2022-05-17,-,"International Union of Operating Engineers, Local Union No. 955",-,Chris Flett,"Alberta Labour and Immigration, Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance, Alberta Advanced Education",-,"Employment and Training, Pensions, Trades and Occupations, Labour Relations, Mining",OL-10341-11,Organization Lobbyist,"Delanee Daviau, Chris Flett, Declan Regan, Rod Sedrovic, Frank Araneda, Anthony Noseworthy",Semi-Annual Renewal,Archived,View 
2022-05-17,-,Counsel Public Affairs Inc.,Biogen Canada,Philip Dewan,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Premier's Office",-,Health,CL-12527-03,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-05-17,-,Alberta Counsel,Lakeland College,Jonathon Wescott,"Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office",-,Post-secondary Education,CL-12075-08,Consultant Lobbyist,"Sydney McHale, Aaron Singleton, Alexandra Carlile, Zack Ziolkowski, Pascal Ryffel, Shayne Saskiw, Jonathon Wescott, Justin Gotfried, Aileen Burke, Votham Anastasiadis, Allyssa Rygersberg",Notice of Change,Archived,View 
2022-05-17,-,Students' Association of Medicine Hat College,-,Alysha Kuntz,Alberta Advanced Education,-,Post-secondary Education,OL-11019-09,Organization Lobbyist,"Lily Schaerer, Shivam, Sarah Manning, Alysha Kuntz",Semi-Annual Renewal,Archived,View 
2022-05-17,-,Counsel Public Affairs Inc.,Merit Contractors Association,Philip Dewan,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Municipal Affairs, Alberta Health, Alberta Culture and Status of Women, Alberta Education, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office",-,"Budget, Employment and Training, Health, Trades and Occupations",CL-11340-16,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-05-16,-,Canadian Association of Petroleum Producers,-,Lisa Baiton,"Alberta Labour and Immigration, Alberta Environment and Parks, , Alberta Energy, Alberta Municipal Affairs, Alberta Indigenous Relations, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Workers’ Compensation Board, Alberta Energy Regulator","Energy, Climate, Health, Royalties, Taxes and Finance, Land Use, Justice and Law Enforcement, Environment, Municipal Affairs, Indigenous Relations, Transportation, Economic Development, Wildlife, Labour Relations",OL-10227-54,Organization Lobbyist,"Fauziah Rochman, J.C. Vito, Lisa Baiton, Tricia Donnelly, Paul Hartzheim, Ben Brunnen, Stephen Bresee, Shafak Sajid, David Hume, Andria Panidisz, Tara Payment, Cole Schulz, Shannon Joseph, Don McCrimmon, Markus Ermisch, Amberly Dooley, Claudette Fedoruk, Bryan Remillard, Giles Ody, Terry Abel, Brad Herald, Richard Wong, Patrick McDonald, Krista Phillips, Aaron Miller, Jonathan Stringham, Jay Averill, Greig Sproule",Notice of Change,Archived,View 
2022-05-16,-,Sun Life Financial,-,Kevin Strain,"Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","Alberta Health Services, Alberta Innovates","Insurance, Health, Banks and Other Financial Institutions",OL-10943-16,Organization Lobbyist,"Marianne Nguyen, Alanna Boyd, Victor Gomez, Jessica Brcko, Ali Salam, Laura Hewitt",Notice of Change,Archived,View 
2022-05-16,-,Canadian Generic Pharmaceutical Association,-,Jim Keon,"Alberta Health, Alberta Treasury Board and Finance, Premier's Office",-,"Intellectual Property, Budget, Health, Trade",OL-10015-12,Organization Lobbyist,"Jeff Connell, Jim Keon, Anne Wilkie, Jody Cox",Semi-Annual Renewal,Archived,View 
2022-05-16,-,Canadian Medical Association,-,Timothy Smith,"Alberta Labour and Immigration, Executive Council, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Premier's Office",-,"Health, Justice and Law Enforcement",OL-10605-19,Organization Lobbyist,"Louise Sweatman, Dr. Alika Lafontaine, Nick Lecuyer, Joseph Mayer, Kristin Smith, Pascal Charron, Dr. Jeff Blackmer, Nick Farinaccio, Anick Losier, Tim Smith, Luce Lavoie, John Feeley, Audrey Grandmaison, Stephen Vail, Cecile Bensimon, Aline Gagnon, Owen Adams, Julie Aung, Manon Abud, Azin Peyrow, Jennifer Kitts, Caroline Bouchard, Ashley Chisholm, Dr. Ann Collins, Philippe Ha, Jasmine Neeson, Marie-Claire Bedard, Dr. Katharine Smart, Eric Lewis, Elena Gabrysz, Karey Shuhendler",Notice of Change,Archived,View 
2022-05-15,-,New West Public Affairs,Cement Association of Canada,Monte Solberg,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Energy,CL-12749-01,Consultant Lobbyist,"Keith McLaughlin, Michael Solberg, Monte Solberg, Matt Solberg, Gordon Olsen, Sonia Kont, Sarah Painchaud, Fahreen Budhwani, Graham Gerein",Initial Return,Archived,View 
2022-05-13,2022-10-01,Sustrio ESG Advisors Inc.,Fort McMurray Airport Authority,Karim Zariffa,"Alberta Environment and Parks, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation",-,Land Use,CL-12745-01,Consultant Lobbyist,Karim Zariffa,Initial Return,Terminated,View 
2022-05-13,2022-10-31,Prospectus Associates in Corporate Development,Tree Energy Solutions,Bruce Hartley,Alberta Energy,-,Energy,CL-12716-01,Consultant Lobbyist,Bruce Hartley,Initial Return,Terminated,View 
2022-05-13,-,Alberta Motor Association,-,Michelle Chimko,"Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Alberta Culture and Status of Women, Alberta Justice and Solicitor General, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Seniors and Housing","Travel Alberta, Automobile Insurance Rate Board","Insurance, Consumer Issues, Tourism, Economic Development, Transportation",OL-10010-13,Organization Lobbyist,"Dominic Schamuhn, Jeff Kasbrick, Joel Ruff, Rob Jesso",Semi-Annual Renewal,Archived,View 
2022-05-13,-,Tourmaline Oil Corp.,-,Mike Rose,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Treasury Board and Finance, Premier's Office",Alberta Energy Regulator,"Energy, Environment, Municipal Affairs",OL-12144-12,Organization Lobbyist,"Scott Kirker, Sherra Aspin, Colin Frostad, Allan Bush, Scott Volk, Leah Turner, Mike Rose",Notice of Change,Archived,View 
2022-05-13,-,Alberta Charitable Casino Operators,-,Michael Thompson,"Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission",Gaming,OL-12735-01,Organization Lobbyist,Michael Thompson,Initial Return,Archived,View 
2022-05-13,-,TC Energy Corporation,-,Francois Poirier,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Indigenous Relations, Alberta Municipal Affairs, Executive Council, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Health Services, Alberta Innovates, Alberta Energy Regulator, Alberta Electric System Operator, Market Surveillance Administrator","Energy, Health, Procurement, Environment, Indigenous Relations, Municipal Affairs, Transportation, Wildlife",OL-10499-49,Organization Lobbyist,"Dave Forestell, Riley Baldwin, Keith Nelson, Michael Schmaltz, Patrick Keys, Robert Tarvydas, Kirk Wasylik, Wendell Klassen, Ana Maria Radu, Mel Garner, Timothy Lam, Stefan Skocylas, Wade Pruett, Greg Grant, Graeme Wright, Lindsay MacKay, Luke Meredith, Julia Jensen, Duane Alexander, Christopher Vivone, Fareen Sunderji, Kristin Anderson, Holly Waldorf, Tisha Homer, Alex Harris, Blaine Trout, Francois Poirier, Mark Thompson, Richard Prior, Jay White, Ken Brink, Jawad Masud, Bevin Wirzba, Joe Zhou, Mark Blundell, Sheldon Good, Patrick Muttart, Rebecca Sullivan",Notice of Change,Archived,View 
2022-05-13,-,ConocoPhillips Canada Resources Corp.,-,Bijan Agarwal,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Energy Regulator","Climate, Energy, Environment, Municipal Affairs",OL-10099-29,Organization Lobbyist,"Logan Schaerer, Cary Allan, Jeff Gow, Fred Walter, Robert Albricht, Kim Iverson, Scott Grindal, Peter Koning, Rickie-Lee Doyle, Chris Malkin, Charlotte Plombin, Bijan Agarwal, Gunnar Johnsen, Devin O'Neal, James Makowecki, Jodi Prior",Notice of Change,Archived,View 
2022-05-13,-,CNOOC Petroleum North America ULC,-,Yongjie Liu,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Premier's Office",-,"Energy, Trade, Environment, Economic Development",OL-10375-44,Organization Lobbyist,"Mike Dlugan, Scott Chalker, Michael MacPhee, Robbie Armfield",Notice of Change,Archived,View 
2022-05-13,-,Canadian Propane Association,-,Shannon Watt,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Alberta Municipal Affairs, Alberta Health, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",-,Energy,OL-10272-15,Organization Lobbyist,"Shannon Watt, Katie Kachur, Allan Murphy, Robert Loenhart",Notice of Change,Archived,View 
2022-05-13,-,ENMAX Corporation,-,Charles Ruigrok,"Alberta Energy, Executive Council, Service Alberta, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Innovates, Alberta Electric System Operator, Balancing Pool, Invest Alberta Corporation, Market Surveillance Administrator","Energy, Consumer Issues, Environment",OL-10279-60,Organization Lobbyist,"Janene Taylor, Greg Retzer, Sheizana Murji, Rose Ferrer, Tracy Coutts, Shiv Kumar, Bruce Borwick, Jana Mosley, Terri-Lynn Duque, Sarah Stevens, Timothy Boston, Chris Joy, Chris McCleave, Mark McGillivray, Randall Stubbings, Erica Young, Andrew Barrett, Charles Ruigrok",Notice of Change,Archived,View 
2022-05-12,-,Merit Contractors Association,-,Malcolm D. Kirkland,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Municipal Affairs, Alberta Education, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office","Alberta Apprenticeship and Industry Training Board, Workers’ Compensation Board","Budget, Employment and Training, Health, Post-secondary Education, Trade, Trades and Occupations, K-12 Education, Labour Relations",OL-10409-24,Organization Lobbyist,"Elizabeth Hammell, Line Porfon, Alan Kuysters, Brian Lacey, Malcolm D. Kirkland, Glenna Laing",Notice of Change,Archived,View 
2022-05-12,-,Longview Communications Inc.,Ember Resources Inc.,Hugh McFadyen,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Energy, Alberta Municipal Affairs, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Premier's Office",-,"Energy, Municipal Affairs, Economic Development",CL-11566-05,Consultant Lobbyist,Evan Legate,Notice of Change,Archived,View 
2022-05-12,2022-10-28,Right Angle Communications and Consulting Inc.,Genesis Land Development Corp.,Bruce McAllister,"Alberta Infrastructure, Alberta Transportation",-,Transportation,CL-12018-04,Consultant Lobbyist,Bruce McAllister,Notice of Change,Terminated,View 
2022-05-12,-,Alberta Counsel,Alberta International Airshow,Jonathon Wescott,"Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Economic Development,CL-12741-01,Consultant Lobbyist,"Zack Ziolkowski, Votham Anastasiadis, Aaron Singleton, Alexandra Carlile, Allyssa Rygersberg, Jonathon Wescott, Shayne Saskiw, Pascal Ryffel, James Johnson, Aileen Burke, Justin Gotfried, Sydney McHale",Initial Return,Archived,View 
2022-05-12,-,Cenovus Energy Inc.,-,Alex Pourbaix,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education","Alberta Petroleum Marketing Commission, Alberta Utilities Commission, Alberta Energy Regulator, Alberta Electric System Operator","Energy, Taxes and Finance, Environment, Municipal Affairs, Indigenous Relations, Workplace Safety, Infrastructure",OL-10248-24,Organization Lobbyist,"Jessica Player, Jeff Nail, Sharla Howard, Devin Iversen, Owen Henshaw, Alisha Bhura, Sam Murphy, Norrie Ramsay, Jeff Jeworski, Andrew Straile, Trent Zacharias, Kendall Dilling, Drew Zieglgansberger, Lindsay Reynolds, Grant Pellegrin, Michael Cody, Ted Johnson, Jamie Agnew, Greg Cave, Jared Robertson, Kam Sandhar, Michael Wilson, Jillian Falls, Brooke Lindsey, Geoff Murray, Gary Molnar, Sean Hiebert, Michael Penner, Eric Wakley, Michele Waters, Sherry Wendt, Brett Wiens, Troy Peterson, Jennifer Shalagan, Shannon McDougall, Anamika Mukherjee, Travis Davies, Ray Lambert, Rhona DelFrari, Susan Grey, Suzanne Smith, Mike Plettel, Charles Gobin, Darwin Bateyko, Shane Cooke, Shelley Machon, Keith Chiasson, Amos Ben-Zvi, Patrick McKay, Prince Azom, Chris Moody, Claire Hong, Tony Jackson, Scott Hillier, Corinne Rozon, Alex Pourbaix, Jim Lytle, Tyler Tarnoczi, Jon McKenzie, Morgan Wrishko, Andrea Louise-Martyn",Notice of Change,Archived,View 
2022-05-12,-,FP Canada,-,Tashia Batstone,"Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",Alberta Securities Commission,"Taxes and Finance, Consumer Issues",OL-12380-04,Organization Lobbyist,"Craig MacLennan, Hillary Dawson, Devin Mataseje, Tashia Batstone",Notice of Change,Archived,View 
2022-05-12,-,Canadian Association of Energy Contractors,-,Mark Scholz,"Alberta Environment and Parks, , Alberta Labour and Immigration, Alberta Energy, Service Alberta, Alberta Jobs, Economy and Innovation, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Workers’ Compensation Board, Alberta Energy Regulator","Energy, Taxes and Finance, Environment, Trade, Intergovernmental Relations, Transportation, Workplace Safety",OL-10259-21,Organization Lobbyist,"Russell Nibogie, Mark Scholz",Notice of Change,Archived,View 
2022-05-11,-,Ovintiv Canada ULC,-,Brendan McCracken,"Alberta Environment and Parks, Alberta Energy, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Alberta Energy Regulator","Climate, Energy, Taxes and Finance, Environment, Municipal Affairs, Indigenous Relations, Economic Development, Wildlife",OL-10288-43,Organization Lobbyist,"Paul Giesbrecht, Kellen Foreman, Parmjeet Virdee, Brendan MacCracken, David Lye, Marawan ElSayed, Daniel Dunlop, Jennifer Blaney, Jason Blanch",Notice of Change,Archived,View 
2022-05-11,-,Alstom Transport Canada Inc.,-,Michael Keroullé,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Alberta Energy Regulator, Travel Alberta, Invest Alberta Corporation, Board of Governors of the Banff Centre",Transportation,OL-12639-02,Organization Lobbyist,"François Desmarais, Souheil Abihanna, Julie Turgeon, Josée Ouellet, Eric Rondeau, Jill Hampton, Alan Le Taillanter, Keith Williams, Olivier Marcil, Robert Young, Ian Hodkinson",Notice of Change,Archived,View 
2022-05-11,-,New West Public Affairs,Lehigh Hanson,Monte Solberg,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Environment,CL-12742-01,Consultant Lobbyist,"Michael Solberg, Matt Solberg, Keith McLaughlin, Gordon Olsen, Sonia Kont, Graham Gerein, Monte Solberg, Sarah Painchaud, Fahreen Budhwani",Initial Return,Archived,View 
2022-05-10,2022-11-21,1689986 ALBERTA LIMITED carrying on business as Navigator,Triovest Inc.,Jason Hatcher,"Alberta Jobs, Economy and Innovation, Alberta Culture and Status of Women",-,"Arts and Culture, Economic Development",CL-12738-01,Consultant Lobbyist,"Rosa Ellithorpe, Zoe Keirstead, Jason Hatcher",Initial Return,Terminated,View 
2022-05-10,-,Alberta Counsel,Edmonton Health City,Jonathon Wescott,"Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Health, Alberta Seniors and Housing, Alberta Advanced Education, Premier's Office",Alberta Health Services,Economic Development,CL-12275-05,Consultant Lobbyist,"Allyssa Rygersberg, Sydney McHale, Aaron Singleton, Votham Anastasiadis, Aileen Burke, Alexandra Carlile, Justin Gotfried, Zack Ziolkowski, James Johnson, Pascal Ryffel, Shayne Saskiw, Jonathon Wescott",Notice of Change,Archived,View 
2022-05-10,-,Wellington Advocacy Inc.,Oilers Entertainment Group Canada Corp.,Nick Koolsbergen,"Alberta Health, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",Alberta Health Services,Sports,CL-12576-03,Consultant Lobbyist,"Brad Tennant, Matt de Jong",Notice of Change,Archived,View 
2022-05-10,-,Building Owners and Managers Association of Calgary,-,Lloyd Suchet,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Municipal Affairs, Alberta Health, Alberta Transportation, Alberta Treasury Board and Finance",-,"Health, Energy, Consumer Issues, Environment, Municipal Affairs, Economic Development, Transportation",OL-10447-11,Organization Lobbyist,Lloyd Suchet,Semi-Annual Renewal,Archived,View 
2022-05-10,-,BHE Canada Limited,BHE Canada L.P.,Edward Rihn,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Transportation, Premier's Office","Alberta Electric System Operator, Market Surveillance Administrator","Energy, Infrastructure",CL-10343-09,Consultant Lobbyist,"Edward Rihn, Sharmen Andrew, Scott Riddell, Chris Deakin",Notice of Change,Archived,View 
